url,linked_package_count,linked_packages
http://dlib.net/,1,dlib
https://ai.google.dev/edge/mediapipe/solutions/setup_python,1,mediapipe
https://albumentations.ai/docs/1-introduction/installation/,1,albumentations
https://alembic.sqlalchemy.org/,1,alembic
https://anyio.readthedocs.io/,1,anyio
https://basicsr.readthedocs.io/,1,basicsr
https://bge-model.com/Introduction/installation.html,1,FlagEmbedding
https://black.readthedocs.io/en/stable/getting_started.html,1,black
https://cibuildwheel.pypa.io/,1,cibuildwheel
https://click.palletsprojects.com/,1,click
https://cmake.org/documentation/,1,cmake
https://cv.gluon.ai/build/examples_action_recognition/decord_loader.html,1,decord
https://developer.nvidia.com/cuda-downloads,19,nvidia-cublas-cu12 | nvidia-cuda-cccl-cu12 | nvidia-cuda-cupti-cu12 | nvidia-cuda-nvcc-cu12 | nvidia-cuda-nvrtc-cu12 | nvidia-cuda-runtime-cu12 | nvidia-cuda-runtime-cu13 | nvidia-cuda-sanitizer-api-cu12 | nvidia-cufft-cu12 | nvidia-curand-cu12 | nvidia-cusolver-cu12 | nvidia-cusparse-cu12 | nvidia-cutlass | nvidia-npp-cu12 | nvidia-nvjitlink-cu12 | nvidia-nvjpeg-cu12 | nvidia-nvml-dev-cu12 | nvidia-nvtx-cu12 | nvidia-pyindex
https://developer.nvidia.com/cuda/python,3,cuda-bindings | cuda-core | cuda-python
https://developer.nvidia.com/cudnn-downloads,1,nvidia-cudnn-cu13
https://developer.nvidia.com/management-library-nvml,1,nvidia-ml-py
https://developer.nvidia.com/tensorrt,1,nvidia-modelopt
https://developers.llamaindex.ai/python/framework/,1,llama-index
https://developers.llamaindex.ai/python/framework/getting_started/installation/,1,llama-index
https://developers.openai.com/api/docs/libraries,1,openai
https://docs.aiohttp.org/,1,aiohttp
https://docs.astral.sh/ruff/,1,ruff
https://docs.astral.sh/ruff/installation/,1,ruff
https://docs.astral.sh/uv/,1,uv
https://docs.flashinfer.ai/installation.html,3,flashinfer-cubin | flashinfer-jit-cache | flashinfer-python
https://docs.griptape.ai/stable/griptape-framework/,1,griptape
https://docs.lancedb.com/quickstart,1,lancedb
https://docs.langchain.com/oss/python/integrations/providers/overview,1,langchain
https://docs.langchain.com/oss/python/langchain/install,1,langchain
